DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR10,2010,36,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR21,2010,9,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR22,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR31,2010,18,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR32,2010,2,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR33,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR41,2010,3,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR42,2010,16,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR51,2010,8,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR52,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR61,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR62,2010,11,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR63,2010,8,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR71,2010,2,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR72,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR81,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR82,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR83,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TR90,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRA1,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRA2,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRB1,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRB2,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRC1,2010,9,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRC2,2010,4,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,TRC3,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR10,2010,38,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR21,2010,17,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR22,2010,12,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR31,2010,28,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR32,2010,9,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR33,2010,24,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR41,2010,20,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR42,2010,13,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR51,2010,26,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR52,2010,14,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR61,2010,3,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR62,2010,10,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR63,2010,12,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR71,2010,9,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR72,2010,15,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR81,2010,20,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR82,2010,7,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR83,2010,9,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TR90,2010,0,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRA1,2010,11,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRA2,2010,6,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRB1,2010,17,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRB2,2010,6,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRC1,2010,21,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRC2,2010,11,
ESTAT:TRAN_R_NET(1.0),13/10/23 23:00:00,A,RL,KM_TKM2,TRC3,2010,8,
